country,processed_name,name_cluster
ASEAN (Ember),asean ember,1
Afghanistan,afghanistan,3
Africa,africa,4
Africa (EI),africa ei,4
Africa (EIA),africa eia,4
Africa (Ember),africa ember,4
Africa (Shift),africa shift,4
Albania,albania,2
Algeria,algeria,2
American Samoa,american samoa,4
Angola,angola,3
Antarctica,antarctica,4
Antigua and Barbuda,antigua and barbuda,3
Argentina,argentina,0
Armenia,armenia,2
Aruba,aruba,0
Asia,asia,2
Asia & Oceania (EIA),asia oceania eia,1
Asia (Ember),asia ember,1
Asia Pacific (EI),asia pacific ei,1
Asia and Oceania (Shift),asia and oceania shift,3
Australia,australia,2
Australia and New Zealand (EIA),australia and new zealand eia,3
Austria,austria,2
Azerbaijan,azerbaijan,3
Bahamas,bahamas,0
Bahrain,bahrain,0
Bangladesh,bangladesh,3
Barbados,barbados,0
Belarus,belarus,0
Belgium,belgium,0
Belize,belize,0
Benin,benin,0
Bermuda,bermuda,0
Bhutan,bhutan,3
Bolivia,bolivia,2
Bosnia and Herzegovina,bosnia and herzegovina,3
Botswana,botswana,3
Brazil,brazil,0
British Virgin Islands,british virgin islands,3
Brunei,brunei,0
Bulgaria,bulgaria,2
Burkina Faso,burkina faso,0
Burundi,burundi,0
CIS (EI),cis ei,1
Cambodia,cambodia,2
Cameroon,cameroon,0
Canada,canada,3
Cape Verde,cape verde,0
Cayman Islands,cayman islands,3
Central & South America (EIA),central south america eia,4
Central African Republic,central african republic,4
Central America (EI),central america ei,4
Central and South America (Shift),central and south america shift,4
Chad,chad,0
Chile,chile,0
China,china,0
Colombia,colombia,2
Comoros,comoros,0
Congo,congo,0
Cook Islands,cook islands,3
Costa Rica,costa rica,4
Cote d'Ivoire,cote divoire,0
Croatia,croatia,2
Cuba,cuba,0
Curacao,curacao,0
Cyprus,cyprus,0
Czechia,czechia,2
Czechoslovakia,czechoslovakia,2
Democratic Republic of Congo,democratic republic of congo,0
Denmark,denmark,0
Djibouti,djibouti,0
Dominica,dominica,4
Dominican Republic,dominican republic,4
EU (Ember),eu ember,1
EU28 (Shift),eu shift,0
East Germany,east germany,3
East Timor,east timor,0
Eastern Africa (EI),eastern africa ei,4
Eastern Europe and Eurasia (EIA),eastern europe and eurasia eia,1
Ecuador,ecuador,0
Egypt,egypt,0
El Salvador,el salvador,0
Equatorial Guinea,equatorial guinea,0
Eritrea,eritrea,0
Estonia,estonia,2
Eswatini,eswatini,0
Ethiopia,ethiopia,2
Eurasia (EIA),eurasia eia,1
Eurasia (Shift),eurasia shift,0
Europe,europe,0
Europe (EI),europe ei,1
Europe (EIA),europe eia,1
Europe (Ember),europe ember,1
Europe (Shift),europe shift,0
European Union (27),european union,0
Falkland Islands,falkland islands,3
Faroe Islands,faroe islands,3
Fiji,fiji,0
Finland,finland,3
France,france,3
French Guiana,french guiana,2
French Polynesia,french polynesia,0
G20 (Ember),g ember,1
G7 (Ember),g ember,1
Gabon,gabon,0
Gambia,gambia,2
Georgia,georgia,2
Germany,germany,3
Ghana,ghana,3
Gibraltar,gibraltar,0
Greece,greece,0
Greenland,greenland,3
Grenada,grenada,0
Guadeloupe,guadeloupe,0
Guam,guam,2
Guatemala,guatemala,0
Guinea,guinea,0
Guinea-Bissau,guineabissau,0
Guyana,guyana,3
Haiti,haiti,0
High-income countries,highincome countries,0
Honduras,honduras,0
Hong Kong,hong kong,0
Hungary,hungary,0
Iceland,iceland,3
India,india,2
Indonesia,indonesia,0
Iran,iran,3
Iraq,iraq,0
Ireland,ireland,3
Israel,israel,0
Italy,italy,0
Jamaica,jamaica,4
Japan,japan,3
Jordan,jordan,3
Kazakhstan,kazakhstan,3
Kenya,kenya,0
Kiribati,kiribati,0
Kosovo,kosovo,0
Kuwait,kuwait,0
Kyrgyzstan,kyrgyzstan,3
Laos,laos,0
Latin America and Caribbean (Ember),latin america and caribbean ember,4
Latvia,latvia,2
Lebanon,lebanon,3
Lesotho,lesotho,0
Liberia,liberia,2
Libya,libya,0
Lithuania,lithuania,2
Low-income countries,lowincome countries,0
Lower-middle-income countries,lowermiddleincome countries,0
Luxembourg,luxembourg,0
Macao,macao,0
Madagascar,madagascar,0
Malawi,malawi,0
Malaysia,malaysia,2
Maldives,maldives,0
Mali,mali,0
Malta,malta,0
Martinique,martinique,0
Mauritania,mauritania,2
Mauritius,mauritius,0
Mexico,mexico,0
Micronesia (country),micronesia country,0
Middle Africa (EI),middle africa ei,4
Middle East (EI),middle east ei,1
Middle East (EIA),middle east eia,1
Middle East (Ember),middle east ember,1
Middle East (Shift),middle east shift,1
Moldova,moldova,0
Mongolia,mongolia,2
Montenegro,montenegro,0
Montserrat,montserrat,0
Morocco,morocco,0
Mozambique,mozambique,2
Myanmar,myanmar,3
Namibia,namibia,2
Nauru,nauru,0
Nepal,nepal,0
Netherlands,netherlands,3
Netherlands Antilles,netherlands antilles,3
New Caledonia,new caledonia,2
New Zealand,new zealand,3
Nicaragua,nicaragua,0
Niger,niger,0
Nigeria,nigeria,2
Niue,niue,0
Non-OECD (EI),nonoecd ei,1
Non-OECD (EIA),nonoecd eia,1
Non-OPEC (EI),nonopec ei,1
Non-OPEC (EIA),nonopec eia,1
North America,north america,4
North America (EI),north america ei,4
North America (Ember),north america ember,4
North America (Shift),north america shift,4
North Korea,north korea,0
North Macedonia,north macedonia,2
Northern Mariana Islands,northern mariana islands,3
Norway,norway,0
OECD (EI),oecd ei,1
OECD (EIA),oecd eia,1
OECD (Ember),oecd ember,1
